Id,code,Category,Location,sku == Partcode,Costs,RingRoll,RingRollDiameter,Material,Weight,OuterDiameter,InnerDiameter,InnerCompFactor,OuterCompFactor,Viscosity,WallThickness,OrificeSize,ErpID,UnityMeasureType
11,SEAL PLATE SEAPLAT102438,4,603,SEAPLAT102438,0,0,0,NULL,0,28,12.5,4,0,0,0,0,NULL,0
41,PISTON PIS102438SS,1,605,PIS102438SS,0,9,0,NULL,0,24,0,41.5,0,0,0,0,NULL,0
59,OUTER BRG OUT618IGUSSS,5,679,OUT618IGUSSS,0,0,0,NULL,0,13,6.5,5,0,0,0,0,NULL,0
457,SPACER IN10A,9,187,IN10A,0,0,0,NULL,0,20,12,4.5,0,0,0,0,NULL,0
113,SEAL HOUSING BRGHOUT6A,9,684,BRGHOUT6A,0,0,0,NULL,0,16,6,11,0,0,0,0,NULL,0
119,BACK UP RING BACKT6,4,675,BACKT6,0,0,0,NULL,0,10,7.5,0,0,0,0,0,NULL,0
40,PISTON PIS1028SS,1,652,PIS1028SS,0,5,0,NULL,0,14,0,30.5,0,0,0,0,NULL,0
779,GLOS14-28 LOCKING SLEEVE ROCKER M10,6,326,GLOS14-28LSRM10,0,0,0,,0,0,0,0,16,0,0,0,NULL,0
118,OUTER BRG BRG102438SS/28CF,5,609,BRG102438SS/28CF,0,0,0,,0,34,10.5,28,0,0,0,0,NULL,0
87,SPACER IN25ALUM,9,502,IN25ALUM,0,0,0,NULL,0,38,25,11,0,0,0,0,NULL,0
15,P/SLEEVE BUTTON PSB14SS,6,317,PSB14SS,0,0,0,,0,0,0,0,8,0,0,0,NULL,0
598,BAR ROD25SS304,13,RACK,ROD25SS304,0,0,0,,0,0,0,0,0,0,0,0,NULL,0
599,BAR ROD32SS304,13,RACK,ROD32SS304,0,0,0,,0,0,0,0,0,0,0,0,NULL,0
596,BAR ROD14SS304,13,RACK,ROD14SS304,0,0,0,,0,0,0,0,0,0,0,0,NULL,0
32,PISTON PIS14A,1,308,PIS14A,0,0,0,NULL,0,24,0,8,0,0,0,0.7,NULL,0
595,BAR ROD02SS,13,Rack,ROD02SS,0,0,0,,0,0,0,0,0,0,0,0,NULL,0
75,OUTER BRG WASHER MOD22W,5,432,MOD22W,0,0,0,NULL,0,34,22,2,0,0,0,0,NULL,0
605,P/SLEEVE BUTTON PSB10CSM10,6,240,PSB10CSM10,0,0,0,,0,0,0,0,5,0,0,0,NULL,0
603,OUTER BRG OUT10IGUSAL,5,241,OUT10IGUSAL,0,0,0,,0,20,10.5,7,0,0,0,0,NULL,0
84,OUTER BRG MO22OUTALUM,9,417,MO22OUTALUM,0,0,0,NULL,0,34,22,27,0,0,0,0,NULL,0
597,BAR ROD18SS304,13,RACK,ROD18SS304,0,0,0,,0,0,0,0,0,0,0,0,NULL,0
24,PISTON PIS25ALUM,1,516,PIS25ALUM,0,0,0,NULL,0,38,0,15,0,0,0,3.5,NULL,0
62,OUTER BRG OUT25ALUM,5,517,OUT25ALUM,0,0,0,NULL,0,38,25,23.5,0,0,0,0,NULL,0
91,SPACER IN08S,9,114,IN08S,0,0,0,NULL,0,16,10,4,0,0,0,0,NULL,0
26,PISTON PIS22L,1,407,PIS22L,0,0,0,NULL,0,32,0,15,0,0,0,1,NULL,0
592,SEP PISTON 6-15,6,130,PIS0615SEP,0,0,0,,0,13,6,6.5,0,0,0,0,NULL,0
604,VALVE BLOCK VB10CSM10,8,242,VB10CSM10,0,0,0,,0,20,5,16,0,0,0,0,NULL,0
35,PISTON PIS10AM8,1,205,PIS10AM8,0,0,0,NULL,0,20,0,8,0,0,0,0.7,NULL,0
601,SEAL 8166 POLY,5,102,SEAL8166DW,0,0,0,,0,16,8,6,0,0,0,0,NULL,0
780,GLOS14-28 LOCKING SLEEVE ROCKER M8,6,326,GLOS14-28LSRM8,0,0,0,,0,0,0,0,16,0,0,0,NULL,0
778,GLOS14-28 LOCKING SLEEVE 4MM RIVET DOME HEAD,6,326,GLOS14-28LSRDH,0,0,0,,0,0,0,0,0,0,0,0,NULL,0
67,OUTER BRG OUT1410IGUSSS,5,204,OUT1410IGUSSS,0,0,0,NULL,0,24,10.5,6.5,0,0,0,0,NULL,0
65,OUTER BRG OUT14IGUS,5,322,OUT14IGUS,0,0,0,NULL,0,24,14.5,6.5,0,0,0,0,NULL,0
9,SEAL PLATE SPAC102038,9,631,SPAC102038,0,0,0,NULL,0,34,12,7,0,0,0,0,NULL,0
27,PISTON PIS2234LB,1,415,PIS2234LB,0,0,0,NULL,0,34,0,15,0,0,0,1,NULL,0
63,OUTER BRG OUT22SS,5,408,OUT22SS,0,0,0,,0,34,22,29,0,0,0,0,NULL,0
20,PISTON PIS8A,1,113,PIS8A,0,0,0,,0,16,0,6.5,0,0,0,0.5,NULL,0
606,SEAL POLY 14247P,5,302,SEAL14247P,0,0,0,,0,24,14,7,0,0,0,0,NULL,0
56,OUTER BRG OUT8IGUS,5,110,OUT8IGUS,0,0,0,NULL,0,16,8.5,5,0,0,0,0,NULL,0
103,IGUS BEARING BRGIGUS2224,4,408,BRGIGUS2224,0,0,0,NULL,0,24,22,0,0,0,0,0,NULL,0
71,SEAL HOUSING MOT1028SH,9,657,MOT1028SH,0,0,0,NULL,0,24,20,23,0,0,0,0,NULL,0
42,PISTON PIS102038SSV,1,632,PIS102038SSV,0,9,0,NULL,0,20,0,41.5,0,0,0,0,NULL,0
107,IGUS BEARING BRGIGUS101210,4,628,BRGIGUS101210,0,0,0,NULL,0,0,0,0,0,0,0,0,NULL,0
97,END BLOCK EB1028S,12,658,EB1028S,0,0,0,,0,24,4,24,0,0,0,0,NULL,0
128,Eye Joint AA4201,7,50,AA4201,0,0,0,NULL,0,0,0,0,42,0,0,0,NULL,0
110,IGUS BEARING BRGIGUS08106,4,125,BRGIGUS08106,0,0,0,NULL,0,0,0,0,0,0,0,0,NULL,0
47,PISTON PIS06A,1,24,PIS06A,0,0,0,NULL,0,13,0,6.5,0,0,0,0.5,NULL,0
58,OUTER BRG OUT6IGUS,5,14,OUT6IGUS,0,0,0,NULL,0,13,6.5,5,0,0,0,0,NULL,0
159,Eye Joint AS2709,7,32A,AS2709,0,0,0,NULL,0,0,0,0,27,0,0,0,NULL,0
165,Rose Joints ASPE4300,7,82,ASPE4300,0,0,0,NULL,0,0,0,0,43,0,0,0,NULL,0
168,Rose Joints ASPN4300,7,9032,ASPN4300,0,0,0,NULL,0,0,0,0,43,0,0,0,NULL,0
149,Eye Joint AN2500,7,6,AN2500,0,0,0,NULL,0,0,0,0,25,0,0,0,NULL,0
151,Eye Joint AS1901,7,39A,AS1901,0,0,0,NULL,0,0,0,0,19,0,0,0,NULL,0
593,INNER TUB1210SS,11,Rack 1,TUB1210SS,0,0,0,,0,12,10,7,0,0,0,0,NULL,0
171,Rose Joints ASPS4300,7,186,ASPS4300,0,0,0,NULL,0,0,0,0,43,0,0,0,NULL,0
89,SPACER IN14S,9,307,IN14S,0,0,0,NULL,0,24,12,4.5,0,0,0,0,NULL,0
105,IGUS BEARING BRGIGUS141605,4,301,BRGIGUS141605,0,0,0,NULL,0,0,0,0,0,0,0,0,NULL,0
177,Fork Joint  GE2700,7,9031,GE2700,0,0,0,NULL,0,0,0,0,27,0,0,0,NULL,0
178,Fork Joint  GE3200,7,200,GE3200,0,0,0,NULL,0,0,0,0,32,0,0,0,NULL,0
268,SEAL SEAL1024S1N,5,216,SEAL1024S1N,0,0,0,,0,24,10,7,0,0,0,0,NULL,0
291,O-RING ORBS010AF70,4,676,ORBS010AF70,0,0,0,,0,10,6.5,1,0,0,0,0,NULL,0
513,SEP PIS SCREW M3,6,723,SCREWM3PANN6SS,0,0,0,,0,0,0,0,0,0,0,0,NULL,0
483,ROD SEAL INNER SEAL0613NMB,4,11,SEAL0613NMB,0,0,0,NULL,0,13,6,3,0,0,0,0,NULL,0
619,CIRCLIP CIRC2234,6,402,CIRC2234,0,0,0,,0,0,0,0,0,0,0,0,NULL,0
481,O-RING OR607178,4,105,OR607178,0,0,0,NULL,0,10,7,0,0,0,0,0,NULL,0
330,O-RING ROD OR0401N,4,105,OR0401N,0,0,0,NULL,0,0,0,0,0,0,0,0,NULL,0
345,BACK UP RING BACKT102438,4,602,BACKT102438,0,0,0,NULL,0,24,19.5,1.5,0,0,0,0,NULL,0
618,END CUP ECUP2238CS,6,400,ECUP2238CS,0,0,0,,0,0,0,0,3,0,0,0,NULL,0
305,O-RING OR222603V,4,421,OR222603V,0,0,0,NULL,0,34,29,3,0,0,0,0,NULL,0
622,PISTON PIS22LM 2X3MM HOLES,1,434,PIS22LM,0,0,0,,0,32,0,15,0,0,0,3,NULL,0
247,VALVE BLOCK SV06SSM5,8,5,SV06SSM5,0,0,0,,0,13,2,12,10,0,0,0,NULL,0
309,O-RING OR14V,4,311,OR14V,0,0,0,,0,24,20,3.5,0,0,0,0,NULL,0
304,O-RING OR222803N,4,410,OR222803N,0,0,0,,0,34,28,3,0,0,0,0,NULL,0
354,TUBE TUB223832C,2,Rack 1,TUB223832C,0,0,0,,0,38,34,0,0,0,0,0,NULL,0
209,Ball Joint WE4501,7,9031,WE4501,0,0,0,NULL,0,0,0,0,45,0,0,0,NULL,0
258,SEAL MB SEAL2230V,4,412,SEAL2230V,0,0,0,NULL,0,31,22,0,0,0,0,0,NULL,0
353,TUBE TUB3834S,2,Rack 1,TUB3834S,0,0,0,NULL,0,38,34,0,0,0,0,0,NULL,0
136,Eye Joint AE1601,7,9036,AE1601,0,0,0,NULL,0,0,0,0,16,0,0,0,NULL,0
137,Eye Joint AE1900,7,9036,AE1900,0,0,0,NULL,0,0,0,0,19,0,0,0,NULL,0
344,BACK UP RING BACKT1028P,4,651,BACKT1028P,0,0,0,NULL,0,16,11,1.5,0,0,0,0,NULL,0
379,ROD ROD14SSHCP/M10,3,Rack 1,ROD14SSHCP/M10,0,0,0,NULL,0,14,0,0,0,0,0,0,NULL,0
142,Eye Joint AE2301,7,9031,AE2301,0,0,0,NULL,0,0,0,0,23,0,0,0,NULL,0
143,Eye Joint AE2700,7,35,AE2700,0,0,0,NULL,0,0,0,0,27,0,0,0,NULL,0
264,SEAL MB SEAL1424NMB,5,306,SEAL1424NMB,0,0,0,NULL,0,24,14,4,0,0,0,0,NULL,0
144,Eye Joint AE2701,7,9036,AE2701,0,0,0,NULL,0,0,0,0,27,0,0,0,NULL,0
302,O-RING OR222835N,4,413,OR222835N,0,0,0,NULL,0,35,30,3,0,0,0,0,NULL,0
308,WIPER O-RING OR16270,4,629,OR16270,0,0,0,NULL,0,20,16.5,2,0,0,0,0,NULL,0
346,BACK UP RING BACKM8,4,627,BACKM8,0,0,0,NULL,0,20,15,1.5,0,0,0,0,NULL,0
156,Eye Joint AS2700,7,17,AS2700,0,0,0,NULL,0,0,0,0,27,0,0,0,NULL,0
157,Eye Joint AS2701,7,9032,AS2701,0,0,0,NULL,0,0,0,0,27,0,0,0,NULL,0
182,Fork Joint  GE4000,7,30,GE4000,0,0,0,NULL,0,0,0,0,40,0,0,0,NULL,0
394,SHRADER VALVE VCHP,6,221,VCHP,0,0,0,NULL,0,0,0,0,0,0,0,0,NULL,0
246,VALVE BLOCK SV08M8,8,108,SV08M8,0,0,0,,0,16,2,12,10,0,0,0,NULL,0
617,SEAL SEAL2230FLON4,4,429,SEAL2230FLON4,0,0,0,,0,30,22,7.5,0,0,0,0,NULL,0
621,O-RING OR222603N,4,411,OR222603N,0,0,0,,0,32,26,3,0,0,0,0,NULL,0
288,O-RING ORBS116AF70,4,601,ORBS116AF70,0,0,0,,0,24,19,2.5,0,0,0,0,NULL,0
623,PROTECTION SLEEVE TUB4439CS,10,RACK 1,TUB4439CS,0,0,0,,0,44,39.4,0,0,0,0,0,NULL,0
326,O-RING OR061015N,4,4,OR061015N,0,0,0,NULL,0,13,10,0,0,0,0,0,NULL,0
620,SLEEVE COLLAR COLSLV22CS,5,414,COLSLV25CS,0,0,0,,0,40,14,3,0,0,0,0,NULL,0
370,TUBE TUB06SS,2,2 & 4,TUB06SS,0,0,0,NULL,0,15,13,0,0,0,0,0,NULL,0
290,O-RING ORBS111AF70,4,650,ORBS111AF70,0,0,0,,0,16,12,2.5,0,0,0,0,NULL,0
366,INNER TUBE TUB1001SS,11,Rack 1,TUB1001SS,0,0,0,NULL,0,10,8,7,0,0,0,0,NULL,0
444,ROD ROD08SSHCP/M6-8mm,3,Rack 1,ROD08SSHCP/M6-8mm,0,0,0,NULL,0,8,0,0,0,0,0,0,NULL,0
440,ROD ROD08SSHCP/M6-10mm,3,Rack 1,ROD08SSHCP/M6-10mm,0,0,0,NULL,0,8,0,0,0,0,0,0,NULL,0
448,ROD ROD08SSHCP/M8-15mm,3,Rack 1,ROD08SSHCP/M8-15mm,0,0,0,NULL,0,8,0,0,0,0,0,0,NULL,0
455,VALVE BLOCK VB10CS8,8,37,VB10CS8,0,0,0,NULL,0,20,2,16,0,0,0,0,NULL,0
403,VALVE BLOCK VB102838S,8,610,VB102838S,0,10.5,0,NULL,0,14,2,0,19.5,0,0,0,NULL,0
421,END BLOCK MOT618PBSS5,12,687,MOT618PBSS5,0,0,0,NULL,0,12,0,17,0,0,0,0,NULL,0
425,VALVE BLOCK MO8VBSS6LONG,8,104,MO8VBSS6LONG,0,0,0,NULL,0,16,2,12,0,0,0,0,NULL,0
224,None M14,7,9032,M14,0,0,0,NULL,0,0,0,0,0,0,0,0,NULL,0
260,SEAL POLY SEAL22307DL,4,401,SEAL22307DL,0,0,0,,0,31,22,7,0,0,0,0,NULL,0
488,INNER TUBE TUB14SS,11,Rack 1,TUB14SS,0,0,0,,0,24,20,16,0,0,0,0,NULL,0
433,VALVE BLOCK M8VBLKS6,8,124,M8VBLKS6,0,0,0,NULL,0,16,2,12,0,0,0,0,NULL,0
446,P/SLEEVE BUTTON DRG 2460,6,n/a,DRG 2460,0,0,0,NULL,0,0,0,0,0,0,0,0,NULL,0
463,S/STAY LENGTH EXTENDER MOD14SSLE,6,318,MOD14SSLE,0,0,0,NULL,0,0,0,0,35,0,0,0,NULL,0
468,ROD ROD14SSHCP/M8,3,Rack 1,ROD14SSHCP/M8,0,0,0,NULL,0,14,0,0,0,0,0,0,NULL,0
450,ROD ROD08CSHCP/M6,3,Rack 1,ROD08CSHCP/M6,0,0,0,NULL,0,8,0,0,0,0,0,0,NULL,0
206,Ball Joint WE3001,7,11,WE3001,0,0,0,NULL,0,0,0,0,30,0,0,0,NULL,0
594,ROD ROD14CSHCP-M8/M10,3,,,,,,,,,,,,,,,,
461,SAFETY STAY NUT MOD14SSN,6,316,MOD14SSN,0,0,0,NULL,0,0,0,0,0,0,0,0,NULL,0
296,O-RING OR329N,4,514,OR329N,0,0,0,NULL,0,0,0,0,0,0,0,0,NULL,0
358,PROTECTION SLEEVE PTUB13416GSS,10,Rack 1,PTUB13416GSS,0,0,0,,0,32,29,0,0,0,0,0,NULL,0
607,BAR ROD28CSEN1A,13,RACK 2,ROD28CSEN1A,0,0,0,,0,28,0,0,0,0,0,0,NULL,0
369,ROD TUBE TUB06SS3HCP,3,Rack 1,TUB06SS3HCP,0,0,0,,0,6,0,0,0,0,0,0,NULL,0
453,PROTECTION SLEEVE TUB14SS,10,Rack 1,TUB14SS,0,0,0,,0,28,24,0,0,0,0,0,NULL,0
238,Ball Joint WS4500,7,98,WS4500,0,0,0,NULL,0,0,0,0,45,0,0,0,NULL,0
363,TUBE TUB10CS,2,Rack 1,TUB10CS,0,0,0,,0,23,20,0,0,0,0,0,NULL,0
456,PROTECTION SLEEVE PSTUB14CS,10,Rack 1,TUB14CS,0,0,0,,0,28,24,0,0,0,0,0,NULL,0
387,ROD ROD06CSHCP,3,Rack 1,ROD06CSHCP,0,0,0,,0,6,0,0,0,0,0,0,NULL,0
781,GLOS14-28 LOCKING SLEEVE TUBE,10,RACK 1,TUB11416GSS,0,0,0,,0,0,0,0,0,0,0,0,NULL,0
301,O-RING OR222835V,4,403,OR222835V,0,0,0,NULL,0,35,30,3,0,0,0,0,NULL,0
187,Fork Joint  GS4000,7,27,GS4000,0,0,0,NULL,0,0,0,0,40,0,0,0,NULL,0
231,Ball Joint WS2503,7,182,WS2503,0,0,0,NULL,0,0,0,0,25,0,0,0,NULL,0
376,ROD ROD22SSHCP,3,Rack 1,ROD22SSHCP,0,0,0,NULL,0,22,0,0,0,0,0,0,NULL,0
445,BCP BCP10BL,6,U4,BCP10BL,0,0,0,NULL,0,0,0,0,0,0,0,0,NULL,0
430,VALVE BLOCK MO22VBSSR,8,427,MO22VBSSR,0,0,0,NULL,0,34,4.5,23,0,0,0,0,NULL,0
287,ROD O-RING ORT100801N,4,626,ORT100801N,0,0,0,NULL,0,10,8.5,1,0,0,0,0,NULL,0
201,Ball Joint WE2502,7,9030,WE2502,0,0,0,NULL,0,0,0,0,25,0,0,0,NULL,0
229,Ball Joint WS2501,7,42,WS2501,0,0,0,NULL,0,0,0,0,25,0,0,0,NULL,0
230,Ball Joint WS2502,7,9033,WS2502,0,0,0,NULL,0,0,0,0,25,0,0,0,NULL,0
207,Ball Joint WE3500,7,22,WE3500,0,0,0,NULL,0,0,0,0,35,0,0,0,NULL,0
214,Ball Joint WN2001,7,9035,WN2001,0,0,0,NULL,0,0,0,0,20,0,0,0,NULL,0
223,None M10,7,0,M10,0,0,0,NULL,0,0,0,0,0,0,0,0,NULL,0
399,VALVE BLOCK VB10SS10,8,224,VB10SS10,0,0,0,,0,20,5,16,0,0,0,0,NULL,0
442,GRUB SCREW SCREWM4SOC4CO,6,722,SCREWM4SOC4CO,0,0,0,,0,0,0,0,0,0,0,0,NULL,0
298,O-RING OR25835N,4,430,OR25835N,0,0,0,NULL,0,0,0,0,0,0,0,0,NULL,0
299,O-RING OR253531N,4,513,OR253531N,0,0,0,NULL,0,38,32,3.5,0,0,0,0,NULL,0
458,ROD ROD10SSHCP/M10 18mm,3,Rack 1,ROD10SSHCP/M10 18mm,0,0,0,NULL,0,10,0,0,0,0,0,0,NULL,0
431,VALVE BLOCK MO22VBCSR,8,418,MO22VBCSR,0,0,0,NULL,0,34,4.5,23,0,0,0,0,NULL,0
466,ROD ROD14SSHCP/18mm,3,Rack 1,ROD14SSHCP/18mm,0,0,0,NULL,0,14,0,0,0,0,0,0,NULL,0
365,ROD TUBE TUB1004HCP,3,Rack 1,TUB1004HCP,0,0,0,NULL,0,10,0,0,0,0,0,0,NULL,0
472,ROD ROD22SSHCP/M14 24mm,3,Rack 1,ROD22SSHCP/M14 24mm,0,0,0,NULL,0,22,0,0,0,0,0,0,NULL,0
22,PISTON PIS61018SS,1,677,PIS61018SS,0,4,0,NULL,0,10,0,19,0,0,0,0,NULL,0
418,VALVE BLOCK MOT618VBSS5,8,685,MOT618VBSS5,0,10,0,NULL,0,6,2,0,15,0,0,0,NULL,0
14,P/SLEEVE BUTTON PSC22SS,,,,,,,,,,,,,,,,,
,6,"423""",PSC22SS,,,,,,,,,,,,,,,
,"0""",0,0,NULL,0,0,0,0,8,0,0,0,NULL,0,,,,
609,PSEUDONYM Prefix DE,0,n/a,Prefix DE,0,0,0,,0,0,0,0,0,0,0,0,NULL,0
406,VALVE BLOCK VB06SSM6,8,18,VB06SSM6,0,0,0,NULL,0,13,2,9.5,0,0,0,0,NULL,0
494,PSEUDONYM Prefix DS,0,n/a,Prefix DS,0,0,0,NULL,0,0,0,0,0,0,0,0,NULL,0
300,O-RING OR25332N,4,512,OR25332N,0,0,0,NULL,0,38,32,3,0,0,0,0,NULL,0
504,PSEUDOROD,5,n/a,PSEUDOROD,0,0,0,,0,8,8,0,5,0,0,0,NULL,0
610,PSEUDONYM CR GAS CHAMBER 1.0,14,,,,,,,,,,,,,,,,
510,S/STAY LENGTH EXTENDER MOD8SSLE ,6,120,MOD8SSLE,0,0,0,,0,0,0,0,27,0,0,0,NULL,0
